cluster_id,L,a,b,R,G,B,HEX,global_proportion,colour_record_count,garment_count,chroma,hue_angle_deg,is_neutral,sort_group,palette_index
303,28.654272703603276,-21.390174613316617,7.40756899303609,30,76,56,#1E4C38,0.0008703830361269126,11,10,22.636511400274653,160.8986679565378,False,1,294
147,38.49186419518476,-9.691563436582921,2.416408370441073,75,95,86,#4B5F56,0.0008997842761265581,18,18,9.98826467701215,165.9998318293317,False,1,295
113,48.25831613293999,-34.60901351177271,7.477787615102374,32,129,101,#208165,0.0007666476050219325,11,11,35.40764216768245,167.80782269218184,False,1,296
285,45.97996660976096,-13.640131365568113,2.2690119724024944,84,115,105,#547369,0.0008399568552253117,14,14,13.827566633390738,170.55542960092464,False,1,297
426,60.79849207254358,-10.73173564950083,1.564466411955402,127,152,144,#7F9890,0.0009387719268093323,15,15,10.845169671559022,171.70587861745548,False,1,298
16,56.9822696939855,-34.7859994871438,4.115433832820663,52,152,129,#349881,0.0004265948588889469,6,6,35.0285962600829,173.25285970496464,False,1,299
243,78.46832578167252,-50.73010162960847,5.97480040142081,43,218,181,#2BDAB5,0.00034774885474444714,4,4,51.08073463828826,173.28286305916197,False,1,300
171,73.66944303888306,-8.742587771709935,0.40565497262845307,164,186,180,#A4BAB4,0.001120228453030109,15,15,8.751993881560377,177.3433884619103,False,1,301
408,66.22745137992445,-33.031832981771046,0.6028591475142573,80,177,159,#50B19F,0.00046656279961649087,5,5,33.03733387074931,178.9544191986613,False,1,302
156,85.9476329605487,-12.1220570337474,-0.1753480687474025,189,222,215,#BDDED7,0.0010954937679769892,13,13,12.123325190501088,180.828737533028,False,1,303
269,71.31357444395704,-23.544621844591564,-0.891535259988872,121,187,175,#79BBAF,0.000713111217641419,10,10,23.561495133471936,182.16851284798915,False,1,304
227,41.4528543637384,-24.371942271384718,-1.6277582817189864,37,109,100,#256D64,0.0007169463087248321,9,9,24.426239315609227,183.82100761116146,False,1,305
51,27.445799499500726,-13.98021378438072,-0.9879750452399465,36,71,66,#244742,0.001162719836690217,13,13,14.015080169125168,184.04234496848557,False,1,306
251,52.10867521137945,-28.46354612446666,-8.043589462981968,31,138,137,#1F8A89,0.0008409003101373196,10,10,29.578248586226934,195.77990295113796,False,1,307
89,72.83032451912166,-15.302329913273482,-6.78930273603163,138,187,191,#8ABBBF,0.0008149089165867689,12,11,16.740846227600056,203.92579431519303,False,1,308
